Stream_Name,EPA assigned site number,State,method,Sample_Date.1,ExpAv,ExpMin,Expmax,total Ind,total taxa,PCAtt2,Att2 taxa,PCAtt3,Att3 taxa,PCAtt4,Att4 taxa,PCAtt5,Att5 taxa,PCAtt6,Att6 taxa,PCephem,ephem taxa,PC pleco,pleco taxa,PC Tricho,tricho taxa,PCHydro,PCtubi,PCnonins,EPT taxa,EPT_Pct taxa,EPT_Pc_Ind,Sens taxa,Sens_PC_taxa,sensPc_indiv,Tol_Pc_Ind,AvtolPerTaxon
3rd Branch White River,EPA HEX 23.01 VT,VT,20 random toss 4m2 area,8/15/2001,4.485714286,3.5,5.2,200,39,0.01,1,0.15,12,0.635,19,0.15,5,0,0,10,4,2,2,16.5,5,0.125,0.005,0.04,11,0.282051282,28.5,13,0.333333333,0.16,0.15,3.564102564
Aegan Brook,EPA HEX 1.01 ME,ME,20 random toss 4m2 area,7/18/2001,3.1,2,3.8,200,41,0.07,5,0.605,16,0.235,15,0.01,1,0,0,12.5,5,4.5,3,12.5,8,0.01,0,0.06,16,0.390243902,29.5,21,0.512195122,0.675,0.01,3
Ames Brook,NH HEX 28.03,NH,20 random toss 4m2 area,7/7/2003,3.533333333,3,3.8,256,49,0.04296875,6,0.171875,10,0.66796875,25,0.04296875,4,0,0,1.953125,4,3.125,3,12.109375,7,0.06640625,0,0.01953125,14,0.285714286,17.1875,16,0.326530612,0.21484375,0.04296875,3.306122449
Ammonoosuc River,NH HEX 14.02,NH,20 random toss 4m2 area,8/6/2003,3,3,3,224,52,0.03125,6,0.191964286,12,0.566964286,25,0.191964286,8,0,0,16.51785714,7,0.892857143,1,9.375,9,0.058035714,0,0.071428571,17,0.326923077,26.78571429,18,0.346153846,0.223214286,0.191964286,3.615384615
Andover Branch,VT HEX 12.01,VT,20 random toss 4m2 area,9/2/2003,2.9,2.5,3.2,207,33,0.057971014,5,0.714975845,12,0.144927536,12,0.072463768,3,0,0,18.84057971,5,5.314009662,3,26.08695652,6,0.009661836,0,0.057971014,14,0.424242424,50.24154589,17,0.515151515,0.77294686,0.072463768,3.303030303
Appleby Brook,NH HEX 15.01,NH,20 random toss 4m2 area,8/2/2002,2,2,2,218,39,0.110091743,8,0.536697248,15,0.330275229,13,0.018348624,2,0,0,27.52293578,5,4.128440367,4,15.59633028,7,0.009174312,0,0.032110092,16,0.41025641,47.24770642,23,0.58974359,0.646788991,0.018348624,3.153846154
Ash Swamp Brook,NH HEX 57.03,NH,20 random toss 4m2 area,7/18/2002,4.35,4.2,4.5,203,52,0.02955665,2,0.098522167,6,0.586206897,27,0.177339901,12,0,0,1.97044335,2,0,0,8.866995074,6,0.068965517,0.004926108,0.123152709,8,0.153846154,10.83743842,8,0.153846154,0.128078818,0.177339901,3.653846154
Batten Kill River,VT HEX 7.01,VT,20 random toss 4m2 area,9/3/2003,3.9,3,4.5,246,52,0.101626016,6,0.223577236,13,0.528455285,26,0.138211382,7,0,0,26.82926829,10,0,0,24.79674797,9,0.089430894,0,0.073170732,19,0.365384615,51.62601626,19,0.365384615,0.325203252,0.138211382,3.653846154
Bear River,EPA HEX 19.03 ME,ME,20 random toss 4m2 area,7/28/2002,3.833333333,3.2,4.8,203,54,0.039408867,4,0.192118227,13,0.615763547,28,0.083743842,5,0,0,5.911330049,4,3.9408867,3,11.8226601,9,0.0591133,0,0.039408867,16,0.296296296,21.67487685,17,0.314814815,0.231527094,0.083743842,3.407407407
Beaver Brook,EPA HEX 34.06 NH,NH,20 random toss 4m2 area,8/28/2001,4.283333333,3.2,4.8,220,45,0.1,2,0.045454545,4,0.736363636,25,0.095454545,11,0,0,16.81818182,3,0,0,4.090909091,4,0.009090909,0.004545455,0.372727273,7,0.155555556,20.90909091,6,0.133333333,0.145454545,0.095454545,3.8
Beaver Brook,NH HEX 61.04,NH,20 random toss 4m2 area,7/16/2002,4,3.8,4.2,242,52,0.008264463,2,0.082644628,9,0.719008264,32,0.111570248,7,0,0,16.52892562,4,0.41322314,1,11.98347107,5,0.05785124,0,0.033057851,10,0.192307692,28.92561983,11,0.211538462,0.090909091,0.111570248,3.730769231
Beech River,EPA HEX 25.02 NH,NH,20 random toss 4m2 area,8/9/2001,3.428571429,2.8,4.2,215,53,0.03255814,5,0.237209302,18,0.618604651,23,0.069767442,5,0,0,10.23255814,10,3.255813953,2,15.81395349,11,0.060465116,0,0.009302326,23,0.433962264,29.30232558,23,0.433962264,0.269767442,0.069767442,3.41509434
Black Creek,EPA HEX 9.05 VT (A),VT,20 random toss 4m2 area,8/13/2001,4.35,3.2,5.5,198,43,0.025252525,2,0.035353535,3,0.626262626,28,0.282828283,10,0,0,8.080808081,4,0,0,2.525252525,4,0.005050505,0.090909091,0.146464646,8,0.186046512,10.60606061,5,0.11627907,0.060606061,0.282828283,4.069767442
Black River,EPA HEX 29.03 VT,VT,20 random toss 4m2 area,8/1/2002,3.528571429,2.8,4.2,235,42,0.072340426,6,0.272340426,8,0.591489362,23,0.012765957,3,0,0,19.57446809,7,1.70212766,2,7.659574468,7,0.017021277,0,0.021276596,16,0.380952381,28.93617021,14,0.333333333,0.344680851,0.012765957,3.404761905
Blood Brook,VT HEX 13.03,VT,20 random toss 4m2 area,7/10/2003,2.9,2,3.5,236,42,0.080508475,6,0.512711864,17,0.347457627,17,0,0,0,0,6.779661017,4,3.813559322,4,16.94915254,8,0.016949153,0,0.055084746,16,0.380952381,27.54237288,23,0.547619048,0.593220339,0,3.119047619
Bog Brook,NH HEX 10.02,NH,20 random toss 4m2 area,7/24/2003,3,1.8,4.2,250,53,0.068,7,0.324,11,0.436,28,0.132,7,0,0,6.4,6,3.2,3,20,10,0.144,0,0.052,19,0.358490566,29.6,18,0.339622642,0.392,0.132,3.660377358
Borden Brook,RSD28,RI,20 random toss 4m2 area,9/20/2000,5,5,5,206,35,0.063106796,4,0.131067961,10,0.684466019,19,0.019417476,1,0,0,2.912621359,1,0,0,11.16504854,8,0.014563107,0,0.262135922,9,0.257142857,14.0776699,14,0.4,0.194174757,0.019417476,3.4
Boyden Stream,EPA HEX 15.02 ME,ME,20 random toss 4m2 area,8/3/2001,4,3.5,4.5,200,40,0.005,1,0.065,3,0.795,25,0.09,8,0,0,8,2,0,0,6.5,6,0.005,0.005,0.545,8,0.2,14.5,4,0.1,0.07,0.09,3.775
Branch River,NH HEX 36.01,NH,20 random toss 4m2 area,7/17/2003,3,3,3,289,58,0.062283737,6,0.117647059,10,0.712802768,35,0.076124567,6,0,0,18.68512111,7,2.422145329,2,8.650519031,8,0.020761246,0.027681661,0.110726644,17,0.293103448,29.75778547,16,0.275862069,0.179930796,0.076124567,3.655172414
Browns River,VT HEX 10.02,VT,20 random toss 4m2 area,7/16/2002,5,5,5,202,36,0.014851485,2,0.207920792,9,0.727722772,18,0.04950495,7,0,0,20.2970297,6,2.97029703,1,3.465346535,5,0.00990099,0,0.173267327,12,0.333333333,26.73267327,11,0.305555556,0.222772277,0.04950495,3.833333333
Bumpus Brook,NH HEX 11.01,NH,20 random toss 4m2 area,7/22/2002,2.466666667,2,3.2,207,41,0.222222222,7,0.338164251,14,0.362318841,18,0,0,0,0,33.33333333,5,14.97584541,5,7.729468599,6,0.009661836,0,0.019323671,16,0.390243902,56.03864734,21,0.512195122,0.560386473,0,3.12195122
Burgess Branch,VT HEX 6.01,VT,20 random toss 4m2 area,8/7/2002,5,5,5,230,34,0.013043478,3,0.334782609,7,0.37826087,18,0.226086957,5,0,0,3.913043478,1,2.173913043,4,6.086956522,3,0.052173913,0,0.02173913,8,0.235294118,12.17391304,10,0.294117647,0.347826087,0.226086957,3.647058824
Carrying Place Stream,EPA HEX 12.02 ME,ME,20 random toss 4m2 area,7/26/2001,3.357142857,2,4.5,236,39,0.06779661,5,0.5,16,0.398305085,16,0,0,0,0,16.52542373,6,3.389830508,3,6.779661017,8,0.008474576,0,0.021186441,17,0.435897436,26.69491525,21,0.538461538,0.56779661,0,3.128205128
Carrying Place Stream,EPA HEX 12.02 ME,ME,20 random toss 4m2 area,7/27/2002,3,3,3,198,32,0.03030303,5,0.267676768,11,0.636363636,14,0,0,0,0,17.67676768,7,0.505050505,1,4.04040404,5,0.01010101,0,0.015151515,13,0.40625,22.22222222,16,0.5,0.297979798,0,3.09375
Cedar Stream,EPA HEX 11.06 NH,NH,20 random toss 4m2 area,7/28/2002,3.042857143,2.5,3.5,226,46,0.075221239,7,0.212389381,12,0.668141593,22,0.022123894,3,0,0,24.33628319,6,4.424778761,3,20.79646018,9,0.026548673,0,0.084070796,18,0.391304348,49.55752212,19,0.413043478,0.287610619,0.022123894,3.326086957
Chemquasabamticook Brook,EPA HEX 3.04 ME,ME,20 random toss 4m2 area,7/24/2002,3.1,2,3.8,225,40,0.208888889,9,0.306666667,10,0.373333333,15,0.075555556,3,0,0,32,6,2.666666667,2,27.55555556,12,0.084444444,0.004444444,0.031111111,20,0.5,62.22222222,19,0.475,0.515555556,0.075555556,3.075
Churchill Brook,NH HEX 35.01,NH,20 random toss 4m2 area,7/11/2002,4.35,4.2,4.5,196,49,0.045918367,6,0.081632653,7,0.780612245,28,0.056122449,4,0,0,12.24489796,7,1.020408163,1,4.591836735,6,0.010204082,0,0.025510204,14,0.285714286,17.85714286,13,0.265306122,0.12755102,0.056122449,3.367346939
Clark Brook,NH HEX 17.03,NH,20 random toss 4m2 area,7/26/2002,3.4,2,4.2,205,35,0.063414634,3,0.453658537,13,0.356097561,15,0.097560976,3,0,0,2.926829268,2,3.902439024,3,18.04878049,7,0.097560976,0,0.058536585,12,0.342857143,24.87804878,16,0.457142857,0.517073171,0.097560976,3.428571429
Cocheco River,EPA HEX 30.04 NH,NH,20 random toss 4m2 area,8/10/2001,3.666666667,2.8,4.5,229,51,0.026200873,3,0.310043668,10,0.541484716,27,0.069868996,8,0,0,20.96069869,7,1.746724891,2,9.6069869,10,0.026200873,0,0.061135371,19,0.37254902,32.31441048,13,0.254901961,0.336244541,0.069868996,3.607843137
